sep=;
Datum;Uhrzeit;Durchschnitt_kmh;Hoechstes_Tempo_kmh;Fahrzeit_s;Strecke_getreten_m;Strecke_im_Spiel_m;Tempo_Multiplikator;Durchschnitt_Watt
2026-09-11;10:57:33;13,2;19,7;348;1282;1435;1,12;101
2026-09-11;11:16:59;15,6;22,0;141;610;610;1,00;127
2026-09-11;11:20:14;18,7;23,5;77;401;602;1,50;142
2026-09-11;11:25:18;13,7;21,9;106;406;608;1,50;117
2026-09-11;11:41:33;16,7;23,1;129;600;600;1,00;135
2026-09-11;11:49:06;14,3;21,0;148;591;591;1,00;141
2026-09-11;11:51:55;17,5;22,6;82;398;597;1,50;139
2026-09-11;12:04:58;17,5;22,0;84;409;614;1,50;131
2026-09-11;12:07:55;18,2;23,5;118;595;595;1,00;150
2026-09-11;12:17:00;13,9;19,8;156;602;602;1,00;107
2026-09-11;12:24:06;20,7;34,0;70;402;603;1,50;155
